id;spotify_user_id;display_name;email;country;href;url;type;ip_address;last_active_at;status
1;apud than;extension oil;Jon_Corkery80@gmail.com;Seychelles;when writ flimsy;https://glossy-thyme.com/;massive costume duh;amongst fog meanwhile;2025-11-22T13:36:36;ONLINE
2;forenenst cod;sonata good;Jerrell.Krajcik@yahoo.com;Slovenia;necessary huzzah from;https://ignorant-populist.name;ugh drowse;illusion;2025-11-22T02:44:10;ONLINE
3;gleefully;house terraform;Ludie_Rogahn@gmail.com;Montserrat;loosely;https://bad-thread.org/;scarcely;vacation blah ironclad;2025-11-22T05:54:08;BANNED
4;psst napkin irritably;safely bashfully;Curtis77@hotmail.com;Ecuador;actually;https://hefty-haversack.biz/;towards;stylish;2025-11-21T21:46:09;ONLINE
5;yearly;fluctuate fedora ha;Jaylen_Kling@yahoo.com;Netherlands;victorious;https://anguished-cork.name/;sans like event;excepting;2025-11-22T11:29:08;BANNED
6;swill webbed;dividend how ha;Citlalli78@hotmail.com;Grenada;purse uh-huh;https://diligent-final.info/;fowl;expensive irk mockingly;2025-11-22T06:12:18;ONLINE
7;sans;early;Isaac_Ebert@gmail.com;Cambodia;between goodwill;https://obedient-yak.biz/;mockingly snowplow;till via;2025-11-22T10:30:07;BANNED
8;about before;priesthood;Osborne84@hotmail.com;Syrian Arab Republic;psst mixed;https://standard-tooth.com/;classic granular;loaf house oof;2025-11-22T06:42:25;OFFLINE
9;big;whether epic;Garrick.Pfannerstill13@gmail.com;Ghana;whoever;https://grave-custody.biz;including;to;2025-11-22T12:28:47;OFFLINE
10;after fervently;drat profane denitrify;Elinor.Kerluke@yahoo.com;Taiwan;splosh what phony;https://unwritten-tooth.org;rival pfft often;yum debut;2025-11-22T02:16:43;ONLINE
